group,label,n_games,mae,mae_sp_only,mae_elo,mae_no_scheme,mae_ppa_delta,rmse,n_bets,ats_win_pct,model_bias
overall,All games (full model),784,13.169,14.322,13.231,13.256,1.153,16.635,311,0.594855305466238,-0.485
conf_tier,P4 (SEC/Big Ten/Big 12/ACC),432,12.47,NA,NA,NA,NA,15.78,168,0.601,NA
conf_tier,G5,327,13.87,NA,NA,NA,NA,17.52,138,0.572,NA
conf_tier,Independent,25,16.01,NA,NA,NA,NA,18.91,10,0.5,NA
week,1,91,12.17,NA,NA,NA,NA,15.38,39,0.641,NA
week,2,48,10.33,NA,NA,NA,NA,13.62,23,0.783,NA
week,3,45,14.95,NA,NA,NA,NA,18.59,18,0.5,NA
week,4,49,13.39,NA,NA,NA,NA,17.21,17,0.647,NA
week,5,50,9.72,NA,NA,NA,NA,12.84,22,0.682,NA
week,6,49,12.29,NA,NA,NA,NA,15.56,17,0.529,NA
week,7,55,15.12,NA,NA,NA,NA,18.47,23,0.652,NA
week,8,58,13.43,NA,NA,NA,NA,17.13,20,0.45,NA
week,9,51,14.63,NA,NA,NA,NA,17.67,20,0.6,NA
week,10,50,15.61,NA,NA,NA,NA,18.63,23,0.478,NA
week,11,49,12.24,NA,NA,NA,NA,15.31,20,0.7,NA
week,12,56,13.33,NA,NA,NA,NA,16.76,26,0.462,NA
week,13,58,14.31,NA,NA,NA,NA,17.28,23,0.435,NA
week,14,65,13.18,NA,NA,NA,NA,17.47,21,0.571,NA
week,15,9,14.48,NA,NA,NA,NA,17.98,3,0.667,NA
week,16,1,4.78,NA,NA,NA,NA,4.78,1,1,NA
