year,canonical_name,conference,sp_overall,sp_offense,sp_defense,sp_st
2025,Indiana,Big Ten,32.4,40.8,9.9,1.5
2025,Ohio State,Big Ten,30.1,37.6,7.7,0.2
2025,Texas Tech,Big 12,27.6,39.3,12.3,0.6
2025,Oregon,Big Ten,25.9,38.7,13.5,0.7
2025,Notre Dame,FBS Independents,24.4,40,16.3,0.8
2025,Georgia,SEC,24.1,37,14.8,1.9
2025,Ole Miss,SEC,24,40.4,18.3,1.9
2025,Utah,Big 12,22.2,39.7,17.5,0
2025,Miami,ACC,20.7,34.2,14.3,0.8
2025,Texas A&M,SEC,20.7,38,16.4,-1
2025,Vanderbilt,SEC,20.3,39.9,21.4,1.8
2025,Iowa,Big Ten,19.7,32.1,14.2,1.7
2025,Washington,Big Ten,18.4,34.5,15.3,-0.9
2025,Oklahoma,SEC,18.3,30.1,12.9,1.1
2025,Penn State,Big Ten,18.1,35.1,18.8,1.8
2025,USC,Big Ten,16.9,38.9,21,-1
2025,Texas,SEC,16.2,32.9,17.9,1.2
2025,BYU,Big 12,15.9,33.9,18.8,0.8
2025,Tennessee,SEC,15,39.3,25.4,1.1
2025,Alabama,SEC,14.8,32.2,16.1,-1.3
2025,Missouri,SEC,14.4,31.2,15.4,-1.4
2025,North Texas,American Athletic,13.8,43.1,28.6,-0.7
2025,SMU,ACC,13.4,34.2,19.5,-1.2
2025,Illinois,Big Ten,12.9,33.3,21.7,1.3
2025,Michigan,Big Ten,12.4,30.9,17,-1.4
2025,Louisville,ACC,12.4,31.6,19.8,0.6
2025,James Madison,Sun Belt,12.3,34.9,21.4,-1.1
2025,Arizona,Big 12,12,33,19.5,-1.5
2025,Auburn,SEC,11.6,28.3,17.4,0.7
2025,South Florida,American Athletic,11.6,37.7,25.3,-0.8
2025,Virginia,ACC,11.1,28.8,18.1,0.5
2025,LSU,SEC,10.3,25.8,16.1,0.7
2025,Iowa State,Big 12,9.9,28.1,19.5,1.3
2025,Clemson,ACC,9.5,27.5,18.9,0.8
2025,Georgia Tech,ACC,9.3,32.5,24.9,1.7
2025,Pittsburgh,ACC,8.4,31.6,23.5,0.4
2025,TCU,Big 12,8.3,32.9,23.9,-0.7
2025,East Carolina,American Athletic,8,32.6,24,-0.5
2025,Memphis,American Athletic,7.6,34.3,28.3,1.5
2025,Houston,Big 12,7.4,31.5,23,-1.1
2025,Florida State,ACC,7.2,29.3,21.2,-0.8
2025,Kansas State,Big 12,7,31.3,25,0.7
2025,San Diego State,Pac-12,6.7,24.4,19.6,1.8
2025,Duke,ACC,6.6,34.8,29.2,1.1
2025,Tulane,American Athletic,6.3,32.4,27.6,1.6
2025,Nebraska,Big Ten,6.2,28.8,22.7,0.1
2025,Navy,American Athletic,6.2,33.6,27.9,0.5
2025,Toledo,Mid-American,6,25.8,18.5,-1.3
2025,Old Dominion,Sun Belt,5.9,31.6,23.7,-2
2025,South Carolina,SEC,5.9,24.6,20.2,1.5
2025,Northwestern,Big Ten,5.8,24.4,20,1.3
2025,Wake Forest,ACC,5.7,26.6,20.9,0
2025,UConn,FBS Independents,5.1,32,28.5,1.6
2025,Arkansas,SEC,5.1,35.8,31.4,0.8
2025,NC State,ACC,4.8,31.4,25.5,-1.2
2025,Cincinnati,Big 12,4.5,30.2,26.4,0.8
2025,UNLV,Mountain West,4.3,33.8,29.8,0.2
2025,Kansas,Big 12,4.1,30.9,28.5,1.7
2025,Mississippi State,SEC,4.1,31.6,29,1.5
2025,Arizona State,Big 12,3.9,28.3,22.7,-1.7
2025,Washington State,Pac-12,3.8,24.6,20.5,-0.3
2025,UTSA,American Athletic,3.7,33.3,30,0.4
