canonical_name,blended_rating,n_sources,sp_overall,sp_offense,sp_defense,sp_st,sagarin_rating,sagarin_predictor,massey_rating,z_sp,z_sag,z_mas,z_blended
Indiana,32.4,1,32.4,40.8,9.9,1.5,NA,NA,NA,2.3943712275505344,NA,NA,2.3943712275505344
Ohio State,30.1,1,30.1,37.6,7.7,0.2,NA,NA,NA,2.219717906445954,NA,NA,2.219717906445954
Texas Tech,27.600000000000005,1,27.6,39.3,12.3,0.6,NA,NA,NA,2.0298773400279315,NA,NA,2.0298773400279315
Oregon,25.9,1,25.9,38.7,13.5,0.7,NA,NA,NA,1.9007857548636757,NA,NA,1.9007857548636757
Notre Dame,24.4,1,24.4,40,16.3,0.8,NA,NA,NA,1.7868814150128622,NA,NA,1.7868814150128622
Georgia,24.1,1,24.1,37,14.8,1.9,NA,NA,NA,1.7641005470426996,NA,NA,1.7641005470426996
Ole Miss,24,1,24,40.4,18.3,1.9,NA,NA,NA,1.7565069243859788,NA,NA,1.7565069243859788
Utah,22.2,1,22.2,39.7,17.5,0,NA,NA,NA,1.6198217165650024,NA,NA,1.6198217165650024
Miami,20.7,1,20.7,34.2,14.3,0.8,NA,NA,NA,1.505917376714189,NA,NA,1.505917376714189
Texas A&M,20.7,1,20.7,38,16.4,-1,NA,NA,NA,1.505917376714189,NA,NA,1.505917376714189
Vanderbilt,20.3,1,20.3,39.9,21.4,1.8,NA,NA,NA,1.4755428860873052,NA,NA,1.4755428860873052
Iowa,19.7,1,19.7,32.1,14.2,1.7,NA,NA,NA,1.4299811501469797,NA,NA,1.4299811501469797
Washington,18.4,1,18.4,34.5,15.3,-0.9,NA,NA,NA,1.331264055609608,NA,NA,1.331264055609608
Oklahoma,18.3,1,18.3,30.1,12.9,1.1,NA,NA,NA,1.3236704329528872,NA,NA,1.3236704329528872
Penn State,18.1,1,18.1,35.1,18.8,1.8,NA,NA,NA,1.3084831876394454,NA,NA,1.3084831876394454
USC,16.9,1,16.9,38.9,21,-1,NA,NA,NA,1.2173597157587943,NA,NA,1.2173597157587943
Texas,16.2,1,16.2,32.9,17.9,1.2,NA,NA,NA,1.1642043571617482,NA,NA,1.1642043571617482
BYU,15.899999999999999,1,15.9,33.9,18.8,0.8,NA,NA,NA,1.1414234891915853,NA,NA,1.1414234891915853
Tennessee,15,1,15,39.3,25.4,1.1,NA,NA,NA,1.0730808852810974,NA,NA,1.0730808852810974
Alabama,14.8,1,14.8,32.2,16.1,-1.3,NA,NA,NA,1.0578936399676555,NA,NA,1.0578936399676555
Missouri,14.399999999999999,1,14.4,31.2,15.4,-1.4,NA,NA,NA,1.0275191493407718,NA,NA,1.0275191493407718
North Texas,13.8,1,13.8,43.1,28.6,-0.7,NA,NA,NA,0.9819574134004465,NA,NA,0.9819574134004465
SMU,13.399999999999999,1,13.4,34.2,19.5,-1.2,NA,NA,NA,0.9515829227735628,NA,NA,0.9515829227735628
Illinois,12.899999999999999,1,12.9,33.3,21.7,1.3,NA,NA,NA,0.9136148094899582,NA,NA,0.9136148094899582
Michigan,12.399999999999999,1,12.4,30.9,17,-1.4,NA,NA,NA,0.8756466962063537,NA,NA,0.8756466962063537
Louisville,12.399999999999999,1,12.4,31.6,19.8,0.6,NA,NA,NA,0.8756466962063537,NA,NA,0.8756466962063537
James Madison,12.3,1,12.3,34.9,21.4,-1.1,NA,NA,NA,0.868053073549633,NA,NA,0.868053073549633
Arizona,12,1,12,33,19.5,-1.5,NA,NA,NA,0.8452722055794702,NA,NA,0.8452722055794702
Auburn,11.599999999999998,1,11.6,28.3,17.4,0.7,NA,NA,NA,0.8148977149525864,NA,NA,0.8148977149525864
South Florida,11.599999999999998,1,11.6,37.7,25.3,-0.8,NA,NA,NA,0.8148977149525864,NA,NA,0.8148977149525864
Virginia,11.099999999999998,1,11.1,28.8,18.1,0.5,NA,NA,NA,0.776929601668982,NA,NA,0.776929601668982
LSU,10.3,1,10.3,25.8,16.1,0.7,NA,NA,NA,0.7161806204152149,NA,NA,0.7161806204152149
Iowa State,9.899999999999999,1,9.9,28.1,19.5,1.3,NA,NA,NA,0.6858061297883311,NA,NA,0.6858061297883311
Clemson,9.5,1,9.5,27.5,18.9,0.8,NA,NA,NA,0.6554316391614476,NA,NA,0.6554316391614476
Georgia Tech,9.3,1,9.3,32.5,24.9,1.7,NA,NA,NA,0.6402443938480059,NA,NA,0.6402443938480059
Pittsburgh,8.399999999999999,1,8.4,31.6,23.5,0.4,NA,NA,NA,0.5719017899375176,NA,NA,0.5719017899375176
TCU,8.3,1,8.3,32.9,23.9,-0.7,NA,NA,NA,0.5643081672807968,NA,NA,0.5643081672807968
East Carolina,8,1,8,32.6,24,-0.5,NA,NA,NA,0.541527299310634,NA,NA,0.541527299310634
Memphis,7.6,1,7.6,34.3,28.3,1.5,NA,NA,NA,0.5111528086837503,NA,NA,0.5111528086837503
Houston,7.4,1,7.4,31.5,23,-1.1,NA,NA,NA,0.4959655633703086,NA,NA,0.4959655633703086
Florida State,7.2,1,7.2,29.3,21.2,-0.8,NA,NA,NA,0.48077831805686677,NA,NA,0.48077831805686677
Kansas State,7,1,7,31.3,25,0.7,NA,NA,NA,0.465591072743425,NA,NA,0.465591072743425
San Diego State,6.7,1,6.7,24.4,19.6,1.8,NA,NA,NA,0.4428102047732623,NA,NA,0.4428102047732623
Duke,6.6,1,6.6,34.8,29.2,1.1,NA,NA,NA,0.43521658211654135,NA,NA,0.43521658211654135
Tulane,6.3,1,6.3,32.4,27.6,1.6,NA,NA,NA,0.41243571414637864,NA,NA,0.41243571414637864
Nebraska,6.2,1,6.2,28.8,22.7,0.1,NA,NA,NA,0.4048420914896578,NA,NA,0.4048420914896578
Navy,6.2,1,6.2,33.6,27.9,0.5,NA,NA,NA,0.4048420914896578,NA,NA,0.4048420914896578
Toledo,6,1,6,25.8,18.5,-1.3,NA,NA,NA,0.38965484617621593,NA,NA,0.38965484617621593
Old Dominion,5.9,1,5.9,31.6,23.7,-2,NA,NA,NA,0.38206122351949506,NA,NA,0.38206122351949506
South Carolina,5.9,1,5.9,24.6,20.2,1.5,NA,NA,NA,0.38206122351949506,NA,NA,0.38206122351949506
Northwestern,5.8,1,5.8,24.4,20,1.3,NA,NA,NA,0.3744676008627741,NA,NA,0.3744676008627741
Wake Forest,5.7,1,5.7,26.6,20.9,0,NA,NA,NA,0.3668739782060532,NA,NA,0.3668739782060532
UConn,5.1,1,5.1,32,28.5,1.6,NA,NA,NA,0.32131224226572774,NA,NA,0.32131224226572774
Arkansas,5.1,1,5.1,35.8,31.4,0.8,NA,NA,NA,0.32131224226572774,NA,NA,0.32131224226572774
NC State,4.8,1,4.8,31.4,25.5,-1.2,NA,NA,NA,0.2985313742955651,NA,NA,0.2985313742955651
Cincinnati,4.5,1,4.5,30.2,26.4,0.8,NA,NA,NA,0.2757505063254024,NA,NA,0.2757505063254024
UNLV,4.299999999999999,1,4.3,33.8,29.8,0.2,NA,NA,NA,0.26056326101196053,NA,NA,0.26056326101196053
Kansas,4.1,1,4.1,30.9,28.5,1.7,NA,NA,NA,0.24537601569851872,NA,NA,0.24537601569851872
Mississippi State,4.1,1,4.1,31.6,29,1.5,NA,NA,NA,0.24537601569851872,NA,NA,0.24537601569851872
Arizona State,3.9,1,3.9,28.3,22.7,-1.7,NA,NA,NA,0.23018877038507696,NA,NA,0.23018877038507696
Washington State,3.8,1,3.8,24.6,20.5,-0.3,NA,NA,NA,0.22259514772835604,NA,NA,0.22259514772835604
UTSA,3.7,1,3.7,33.3,30,0.4,NA,NA,NA,0.21500152507163517,NA,NA,0.21500152507163517
Florida,3.5,1,3.5,24.5,22.6,1.5,NA,NA,NA,0.19981427975819332,NA,NA,0.19981427975819332
Boise State,3.1,1,3.1,29.1,25.1,-0.8,NA,NA,NA,0.16943978913130972,NA,NA,0.16943978913130972
