season,game_id,week,is_postseason,neutral_site,conf_tier,canonical_home,canonical_away,home_conf,away_conf,home_score,away_score,actual_margin,actual_total,posted_spread,posted_total,sp_diff,elo_diff_scaled,rating_diff_blend,ppa_diff,success_rate_diff,expl_diff,rush_rate_diff,third_down_diff,scheme_adj,sp_st_diff,turnover_margin_diff,returning_pct_diff,talent_diff,portal_index_diff,effective_hfa,home_sp,away_sp,home_elo,away_elo
2013,332412579,1,0,0,1,South Carolina,North Carolina,SEC,ACC,27,10,17,37,-11.5,56,2.0000000000000018,10.337530620067955,3.515914658194175,0.059999999999999984,0,0,0.0640774125132556,0.0314814814814815,0.0695737009544008,-2.5,11,NA,49.22,NA,3.5,16.1,14.1,2045,1827
2013,332410189,1,0,0,0,Bowling Green,Tulsa,Mid-American,Conference USA,34,7,27,41,3,50.5,-6.6,24.8954292455765,-0.87355831898609,0.19999999999999998,0,0,0.05898944152642305,0.107873424062787,2.653017472395436e-5,-2.3,20,NA,NA,NA,2.5,-4,2.6,1792,1267
2013,332412116,1,0,0,0,UCF,Akron,American Athletic,Mid-American,38,7,31,45,-28,55.5,25.8,33.66810431306536,27.23056442055734,0.15000000000000002,0,0,0.03888308585082778,0.09389914920107906,-0.09729971667520054,0.4,7,NA,NA,NA,3,6.3,-19.5,1831,1121
2013,332410135,1,0,0,0,Minnesota,UNLV,Big Ten,Mountain West,51,23,28,74,-17,52,15.799999999999999,11.90238617264705,15.09134294048128,0.010000000000000009,0,0,0.1748658922164198,0.024113192506974912,0.11083079327862438,0.19999999999999998,-2,NA,NA,NA,3,-0.9,-16.7,1562,1311
2013,332410254,1,0,0,0,Utah,Utah State,Pac-12,Mountain West,30,26,4,56,-4.5,52,-7.2,-12.85078347724044,-8.22741517768008,0.04000000000000001,0,0,-0.004270434227330755,-0.1103402175917389,-0.17020593869731804,-0.40000000000000013,-20,NA,NA,NA,3.5,3.8,11,1502,1773
2013,332410238,1,0,0,1,Vanderbilt,Ole Miss,SEC,SEC,35,39,-4,74,-1.5,52,-4.199999999999999,-1.8967946091867811,-3.781235383488505,-0.05,0,0,0.054063225575995744,-0.1271824622078429,0.029798892659403442,1.7,6,NA,3.5600000000000023,NA,2.5,10,14.2,1648,1688
2013,332410278,1,0,0,0,Fresno State,Rutgers,Mountain West,American Athletic,52,51,1,103,-8.5,54.5,12.5,12.803363612010772,12.555157020365595,0.07999999999999999,0,0,-0.12765078857630013,0.07185743136291683,0.2515547740835465,2,14,NA,NA,NA,3,12.5,0,1663,1393
2013,332410062,1,0,0,0,Hawaii,USC,Mountain West,Pac-12,13,30,-17,43,21.5,52,-41,-26.93448345045229,-38.44263335462768,0.05000000000000001,0,0,-0.12705079151752852,-0.02811902811902811,-0.4469878906732128,-0.5,-15,NA,NA,NA,4,-19.1,21.9,1208,1776
2013,332422390,1,0,0,0,Miami,FAU,ACC,Conference USA,34,6,28,40,-31,54.5,26.099999999999998,7.91911749335481,22.79438499879178,0.19,0,0,-0.05397343410053812,-0.050000000000000044,-0.503383029886637,2.8000000000000003,8,NA,NA,NA,3.5,8.2,-17.9,1554,1387
2013,332422567,1,0,0,0,SMU,Texas Tech,American Athletic,Big 12,23,41,-18,64,2.5,59.5,-24.6,-9.768492237311923,-21.903362224965804,0.039999999999999994,0,0,-0.026505328265891637,-0.060652395514780855,-0.30209330054400474,-0.7000000000000001,7,NA,NA,NA,3,-7.6,17,1420,1626
2013,332420127,1,0,0,0,Michigan State,Western Michigan,Big Ten,Mid-American,26,13,13,39,-24,44,22.200000000000003,39.78526692769273,25.397321259580497,-0.07,0,0,0.09919472071829999,0.13074169815072578,0.613624846127869,3.5,20,NA,NA,NA,3,12.4,-9.8,1941,1102
2013,332430194,1,0,0,0,Ohio State,Buffalo,Big Ten,Mid-American,40,20,20,60,-33.5,55.5,40.1,25.606727224021544,37.46485949527664,0.15999999999999998,0,0,0.07558774453840555,0.06844084297665198,-0.19169137148141072,1.9,-10,NA,NA,NA,4.5,23.8,-16.3,1996,1456
2013,332432132,1,0,0,0,Cincinnati,Purdue,American Athletic,Big Ten,42,7,35,49,-14,49.5,12.1,25.27478816741386,14.495416030438882,0.04999999999999999,0,0,0.09566994855721728,0.17607099143206856,0.2891708513610194,2.5,-5,NA,NA,NA,3,11.1,-1,1656,1123
2013,332430275,1,0,0,0,Wisconsin,UMass,Big Ten,Mid-American,45,0,45,45,-45,54.5,48.9,52.11443188740681,49.48444216134669,0.08000000000000002,0,0,0.04149529637308014,0.057864042281756844,0.3762020441828841,-1.4000000000000001,8,NA,NA,NA,3.5,14.5,-34.4,1967,868
2013,332430057,1,0,0,0,Florida,Toledo,SEC,Mid-American,24,6,18,30,-21,55.5,32,5.02650571434497,27.095728311699084,-0.17,0,0,0.03605091406269867,-0.03151774785801709,0.5020873329653447,1.1,-6,NA,NA,NA,4,28,-4,1646,1540
2013,332430120,1,0,0,0,Maryland,FIU,ACC,Conference USA,43,10,33,53,-15,49.5,4.8999999999999995,27.88288075504568,9.078705591826486,0.07,0,0,-0.06874982891243053,0.09202679144875675,0.3486923434890915,-0.40000000000000013,-1,NA,NA,NA,2.5,-7.8,-12.7,1476,888
2013,332430152,1,0,0,0,NC State,Louisiana Tech,ACC,Conference USA,40,14,26,54,-10.5,62,5.2,6.117162614627369,5.366756839023157,0.06,0,0,0.07135087135087143,0.022699696663296298,-0.21159107559107565,-1.4,3,NA,NA,NA,3,5.4,0.2,1367,1238
2013,332430245,1,0,0,0,Texas A&M,Rice,SEC,Conference USA,52,31,21,83,-28,69,36.4,17.87728919158541,33.032234398470074,0.26,0,0,-0.18083865459311899,0.1095870715435932,-0.3762867828324735,-0.8,-6,NA,NA,NA,4.5,28.8,-7.6,1898,1521
2013,332430087,1,0,0,0,Notre Dame,Temple,FBS Independents,American Athletic,28,6,22,34,-24.5,53,30.799999999999997,16.217593908546977,28.148653437917627,-0.10999999999999999,0,0,0.003948161543098294,-0.001510772464529686,0.2753176612417118,-3.1999999999999997,6,NA,NA,NA,4.5,19.2,-11.6,1775,1433
2013,332430197,1,0,1,1,Oklahoma State,Mississippi State,Big 12,SEC,21,3,18,24,-13,63,15.9,11.475607385580025,15.095564979196368,-0.13,0,0,-0.04163010347911977,-0.004043706444119444,0.38985658752061314,2.3000000000000003,8,NA,-13.319999999999993,NA,0,24,8.1,2004,1762
2013,332430130,1,0,0,0,Michigan,Central Michigan,Big Ten,Mid-American,59,9,50,68,-26,53.5,32.1,21.528618814269965,30.17793069350363,-0.039999999999999994,0,0,0.015342730348329447,-0.036306235201262804,0.3218628130610214,0.9,10,NA,NA,NA,4,20.5,-11.6,1752,1298
2013,332430258,1,0,0,0,Virginia,BYU,ACC,FBS Independents,19,16,3,35,4,49,-11.200000000000001,-25.417047763102868,-13.784917775109612,-0.07,0,0,-0.10620247954443685,0.003289287132081875,-0.07823973151083947,-0.9999999999999999,-7,NA,NA,NA,2.5,-0.3,10.9,1197,1733
2013,332430213,1,0,1,1,Penn State,Syracuse,Big Ten,ACC,23,17,6,40,5,50.5,8.3,9.00977439363721,8.42904988975222,0.09,0,0,-0.026694808323200814,-0.04453655279848673,-0.023702493748422718,0,-4,NA,NA,NA,0,14.1,5.8,1616,1426
2013,332432294,1,0,0,0,Iowa,Northern Illinois,Big Ten,Mid-American,27,30,-3,57,-6.5,53,-11.9,-0.7112979784450429,-9.865690541535463,-0.2,0,0,-0.012798539252586894,-0.016133085389757273,0.28724685911307196,-1.6,-14,NA,NA,NA,3.5,0.5,12.4,1724,1739
2013,332430008,1,0,0,0,Arkansas,Louisiana,SEC,Sun Belt,34,14,20,48,-14,55,11.6,-1.2803363612010772,9.258120661599804,0.03,0,0,-0.02711869360318564,-0.08333333333333331,-0.2672340773755161,-2.3000000000000003,-10,NA,NA,NA,3.5,11.6,0,1390,1417
2013,332430259,1,0,1,1,Virginia Tech,Alabama,ACC,SEC,10,35,-25,45,18.5,45,-23.8,-27.26642250705998,-24.43025863764727,-0.18,0,0,-0.025138407172305532,-0.1559934318555008,0.09282397748838431,-1.7,5,NA,-81.71000000000001,NA,0,12.7,36.5,1539,2114
2013,332430201,1,0,0,0,Oklahoma,Louisiana Monroe,Big 12,Sun Belt,34,0,34,34,-23,61,40.5,34.521661887199414,39.413029434036254,0.04,0,0,0.1410926776280057,0.015561450044208669,-0.028372981780476952,3.9,13,NA,NA,NA,4,28.5,-12,1934,1206
2013,332430276,1,0,0,0,Marshall,Miami (OH),Conference USA,Mid-American,52,14,38,66,-13,67.5,14.799999999999999,39.40590800585537,19.273801455610066,0.06000000000000001,0,0,-0.08952492796766398,0.2687767322497861,0.5767065860086575,0.09999999999999998,5,NA,NA,NA,3,-1.4,-16.2,1691,860
2013,332432572,1,0,0,0,Southern Miss,Texas State,Conference USA,Sun Belt,15,22,-7,37,-9.5,56.5,-5.700000000000001,-10.859149137594322,-6.63802711592624,-0.06000000000000001,0,0,-0.20235835626838766,-0.04693387033909313,-0.13959286324380743,-3.4,-21,NA,NA,NA,3,-18.6,-12.9,956,1185
2013,332430151,1,0,0,0,East Carolina,Old Dominion,Conference USA,NA,52,38,14,90,-14.5,NA,0,0,0,0.24000000000000002,0,0,0,0,-0.3272000000000001,NA,NA,NA,NA,NA,3,-5.5,NA,1644,NA
2013,332430002,1,0,0,1,Auburn,Washington State,SEC,Pac-12,31,24,7,55,-13.5,60.5,9.2,19.86892353123153,11.139804278405732,0.14,0,0,0.4756916679993603,0.07024064171122996,-0.29427474812090193,1.7,5,NA,NA,NA,4,4.8,-4.4,1844,1425
2013,332430098,1,0,1,0,Western Kentucky,Kentucky,Sun Belt,SEC,35,26,9,61,3,56,3.999999999999999,10.384950485297626,5.16090008823593,0.020000000000000018,0,0,-0.021990402362495387,0.15293440736478714,0.3961474197120709,-0.7,-10,NA,NA,NA,0,-4.7,-8.7,1454,1235
2013,332430228,1,0,0,1,Clemson,Georgia,ACC,SEC,38,35,3,73,-2,70.5,-9.5,2.7503521833208326,-7.272663239396212,-0.09999999999999999,0,0,0.010304449648712022,0.03103785701180356,0.17305854800936762,1.3,13,NA,-31.840000000000003,NA,4.5,18.5,28,1928,1870
2013,332430167,1,0,0,0,New Mexico,UTSA,Mountain West,Conference USA,13,21,-8,34,-6,54,6.700000000000001,-12.424004690173415,3.2229082381502887,0.21000000000000002,0,0,0.2650142556357892,-0.06752284903876454,-0.8337344876374759,0.9000000000000001,3,NA,NA,NA,2.5,-13.4,-20.1,1164,1426
2013,332430158,1,0,0,0,Nebraska,Wyoming,Big Ten,Mountain West,37,34,3,71,-21.5,65.5,34.5,21.481198949040294,32.13294526346187,-0.15,0,0,0.12008379145038584,-0.05965454129489822,0.2844535742149625,2.5,-7,NA,NA,NA,4,20.3,-14.2,1649,1196
2013,332430251,1,0,0,0,Texas,New Mexico State,Big 12,FBS Independents,56,7,49,63,-42,54,51.9,41.91916086302786,50.08530197509597,-0.17,0,0,0.049405148172182556,0.044940289126335686,0.3185775470473719,1.5,10,NA,NA,NA,4,18.6,-33.3,1705,821
2013,332432628,1,0,1,1,TCU,LSU,Big 12,SEC,27,37,-10,64,5,47.5,-10.799999999999999,-18.2092282481931,-12.14713240876238,-0.28,0,0,-0.12575120579814814,-0.2514285714285714,0.408205101751309,0.7,-2,NA,-33.18000000000001,NA,0,12.9,23.7,1610,1994
2013,332430026,1,0,0,0,UCLA,Nevada,Pac-12,Mountain West,58,20,38,78,-14.5,68,16.8,23.14089423207873,17.95288986037795,-0.07000000000000002,0,0,0.018128237952454218,0.05742252931323283,0.346780991984054,1.5,3,NA,NA,NA,3,14.8,-2,1872,1384
