raw_name,preprocessed,proposed_match,similarity,confident,source_col,reviewed,timestamp
Hawai'i,Hawai'i,Hawaii,0.571,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
California,California,Cal,0.222,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Miami (OH),Miami OH,Miami (OH),0.556,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Florida Atlantic,Florida Atlantic,Florida State,0.421,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Missouri State,Missouri State,Missouri,0.538,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Delaware,Delaware,Hawaii,0.2,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Wyoming,Wyoming,Wyoming,1,TRUE,massey_name,FALSE,2026-05-20T21:05:00Z
App State,App State,NC State,0.5,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
San José State,San José State,San Jose State,0.733,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
UL Monroe,ULM,Tulsa,0.2,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
nationalAverages,nationalAverages,Cincinnati,0.167,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Nicholls,Nicholls,Michigan,0.167,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Portland State,Portland State,Kansas State,0.333,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Southern,Southern,Southern Miss,0.583,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Central Washington,Central Washington,Washington,0.529,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Northern Michigan,Northern Michigan,Eastern Michigan,0.55,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Saginaw Valley State,Saginaw Valley State,Ball State,0.333,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Ferris State,Ferris State,Texas State,0.429,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Indiana State,Indiana State,Indiana,0.5,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Michigan Tech,Michigan Tech,Michigan,0.636,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Marian College,Marian College,Boston College,0.444,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Clarion,Clarion,Arizona,0.333,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Delta State,Delta State,Iowa State,0.5,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Seton Hill,Seton Hill,Boston College,0.222,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Wilson,Wilson,Clemson,0.222,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
University Of Charleston (WV),University Of Charleston (WV),Boston College,0.171,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
St. Thomas (MN),St. Thomas (MN),Oklahoma State,0.174,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Walsh,Walsh,Marshall,0.222,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Eastern Illinois,Eastern Illinois,Northern Illinois,0.579,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Norfolk State,Norfolk State,Colorado State,0.389,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Wayne State (NE),Wayne State (NE),Iowa State,0.375,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Minnesota State Mankato,Minnesota State Mankato,Minnesota,0.4,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
East Stroudsburg University,East Stroudsburg University,Pittsburgh,0.172,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Quincy,Quincy,Cincinnati,0.2,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
University of Mary,University of Mary,Maryland,0.143,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Drake,Drake,Duke,0.167,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Houston Christian,Houston Christian,Houston,0.4,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Samford,Samford,Stanford,0.3,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Emporia State University,Emporia State University,Florida State,0.296,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
CSU Pueblo,CSU Pueblo,Purdue,0.167,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Northwestern State,Northwestern State,Northwestern,0.733,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Eastern New Mexico,Eastern New Mexico,New Mexico,0.529,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Black Hills State,Black Hills State,Jacksonville State,0.375,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Western Colorado,Western Colorado,Colorado State,0.474,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Winona State,Winona State,Arizona State,0.533,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Fort Hays State,Fort Hays State,Texas State,0.353,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Rhode Island,Rhode Island,Maryland,0.2,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
West Florida,West Florida,Florida,0.545,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Colgate,Colgate,Colorado State,0.267,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Marist,Marist,Arizona,0.222,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Carson-Newman College,Carson-Newman College,Boston College,0.375,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Gannon,Gannon,UConn,0.286,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Lehigh,Lehigh,Michigan,0.2,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Shorter,Shorter,Northwestern,0.308,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
UT Permian Basin,UT Permian Basin,Eastern Michigan,0.2,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Shaw,Shaw,Hawaii,0.333,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Glenville State,Glenville State,Jacksonville State,0.579,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Grand Valley State University,Grand Valley State University,Ball State,0.233,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Post University,Post University,West Virginia,0.13,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
Central State (OH),Central State (OH),Ball State,0.368,FALSE,massey_name,FALSE,2026-05-20T21:05:00Z
